year,month,zip,noise_count,pop_total,borough,noise_per_1000
2023,3,11228,42,42325.0,Brooklyn,0.9923213230950976
2023,3,11229,262,79802.0,Brooklyn,3.283125736197088
2023,3,11230,306,88252.0,Brooklyn,3.4673435162942483
2023,3,11231,551,39704.0,Brooklyn,13.877694942575056
2023,3,11232,116,26681.0,Brooklyn,4.347663131067051
2023,3,11233,347,82711.0,Brooklyn,4.1953307298908245
2023,3,11234,196,87778.0,Brooklyn,2.2329057394791407
2023,3,11235,267,81958.0,Brooklyn,3.2577661729178358
2023,3,11236,150,95174.0,Brooklyn,1.5760606888435917
2023,3,11237,406,45233.0,Brooklyn,8.97574779475162
2023,3,11238,1162,58462.0,Brooklyn,19.876158872429958
2023,3,11239,47,16047.0,Brooklyn,2.928896366922166
2023,3,11249,368,45353.0,Brooklyn,8.114126959627809
2023,3,11251,1,,Brooklyn,
2023,4,10301,257,39799.0,Staten Island,6.457448679615066
2023,4,10302,68,19693.0,Staten Island,3.4530036053419995
2023,4,10303,72,25993.0,Staten Island,2.7699765321432697
2023,4,10304,150,45843.0,Staten Island,3.272037170342255
2023,4,10305,92,41714.0,Staten Island,2.2054945581819054
2023,4,10306,125,57249.0,Staten Island,2.18344425230135
2023,4,10307,35,14821.0,Staten Island,2.3615140678766617
2023,4,10308,27,29996.0,Staten Island,0.9001200160021336
2023,4,10309,29,,Staten Island,
2023,4,10310,74,25824.0,Staten Island,2.865551425030979
2023,4,10312,78,63345.0,Staten Island,1.231352119346436
2023,4,10314,184,93539.0,Staten Island,1.9670939394263354
2023,4,11201,1147,69251.0,Brooklyn,16.562937719310913
2023,4,11203,307,76853.0,Brooklyn,3.99463911623489
2023,4,11204,244,81368.0,Brooklyn,2.9987218562579883
2023,4,11205,243,50205.0,Brooklyn,4.840155363011652
2023,4,11206,621,89231.0,Brooklyn,6.959464760004931
2023,4,11207,718,93445.0,Brooklyn,7.683664187489968
2023,4,11208,492,106901.0,Brooklyn,4.602389126387966
2023,4,11209,382,70756.0,Brooklyn,5.398835434450789
2023,4,11210,251,60398.0,Brooklyn,4.155766747243287
2023,4,11211,531,65691.0,Brooklyn,8.083299082066036
2023,4,11212,560,87946.0,Brooklyn,6.367543720010007
2023,4,11213,440,69630.0,Brooklyn,6.3191153238546605
2023,4,11214,261,88994.0,Brooklyn,2.93278198530238
2023,4,11215,403,70922.0,Brooklyn,5.682298863540227
2023,4,11216,628,59913.0,Brooklyn,10.481865371455276
2023,4,11217,457,42569.0,Brooklyn,10.735511757382133
2023,4,11218,293,71313.0,Brooklyn,4.1086477921276625
2023,4,11219,167,94737.0,Brooklyn,1.7627748398197114
2023,4,11220,420,90792.0,Brooklyn,4.625958234205657
2023,4,11221,905,90750.0,Brooklyn,9.97245179063361
2023,4,11222,352,41418.0,Brooklyn,8.498720363127143
2023,4,11223,276,78566.0,Brooklyn,3.512969987017285
2023,4,11224,210,48469.0,Brooklyn,4.332666240277291
2023,4,11225,600,56544.0,Brooklyn,10.611205432937181
2023,4,11226,815,100022.0,Brooklyn,8.148207394373237
2023,4,11228,76,42325.0,Brooklyn,1.795629060838748
2023,4,11229,239,79802.0,Brooklyn,2.9949124082103205
2023,4,11230,319,88252.0,Brooklyn,3.6146489597969453
2023,4,11231,459,39704.0,Brooklyn,11.560548055611527
2023,4,11232,208,26681.0,Brooklyn,7.795809752258161
2023,4,11233,479,82711.0,Brooklyn,5.79124904788964
2023,4,11234,229,87778.0,Brooklyn,2.608854154799608
2023,4,11235,345,81958.0,Brooklyn,4.209473144781473
2023,4,11236,156,95174.0,Brooklyn,1.6391031163973353
2023,4,11237,596,45233.0,Brooklyn,13.176220900669867
2023,4,11238,1150,58462.0,Brooklyn,19.67089733502104
2023,4,11239,44,16047.0,Brooklyn,2.741945534990964
2023,4,11249,397,45353.0,Brooklyn,8.753555442859348
2023,5,10301,216,39799.0,Staten Island,5.427272042011106
2023,5,10302,105,19693.0,Staten Island,5.331843802366323
2023,5,10303,88,25993.0,Staten Island,3.3855268726195513
2023,5,10304,167,45843.0,Staten Island,3.6428680496477104
2023,5,10305,139,41714.0,Staten Island,3.3322146042096175
2023,5,10306,135,57249.0,Staten Island,2.3581197924854584
2023,5,10307,56,14821.0,Staten Island,3.778422508602658
2023,5,10308,55,29996.0,Staten Island,1.8335778103747167
2023,5,10309,91,,Staten Island,
2023,5,10310,109,25824.0,Staten Island,4.22087980173482
2023,5,10312,90,63345.0,Staten Island,1.4207909069381957
2023,5,10314,237,93539.0,Staten Island,2.5337025198045735
2023,5,11201,1290,69251.0,Brooklyn,18.627889849966063
2023,5,11203,383,76853.0,Brooklyn,4.983540004944505
2023,5,11204,308,81368.0,Brooklyn,3.785271851342051
2023,5,11205,289,50205.0,Brooklyn,5.75639876506324
2023,5,11206,833,89231.0,Brooklyn,9.335320684515471
2023,5,11207,881,93445.0,Brooklyn,9.428005778800364
2023,5,11208,718,106901.0,Brooklyn,6.7164947007043905
2023,5,11209,335,70756.0,Brooklyn,4.734580812934593
2023,5,11210,273,60398.0,Brooklyn,4.520017219113216
2023,5,11211,763,65691.0,Brooklyn,11.614985310012026
2023,5,11212,583,87946.0,Brooklyn,6.629067837081846
2023,5,11213,494,69630.0,Brooklyn,7.094643113600459
2023,5,11214,250,88994.0,Brooklyn,2.80917814684136
2023,5,11215,488,70922.0,Brooklyn,6.880798623840275
2023,5,11216,840,59913.0,Brooklyn,14.020329477742727
2023,5,11217,588,42569.0,Brooklyn,13.812868519345063
2023,5,11218,409,71313.0,Brooklyn,5.735279682526327
2023,5,11219,229,94737.0,Brooklyn,2.4172181935252333
2023,5,11220,522,90792.0,Brooklyn,5.749405233941316
2023,5,11221,1033,90750.0,Brooklyn,11.382920110192837
2023,5,11222,443,41418.0,Brooklyn,10.695832729731034
2023,5,11223,315,78566.0,Brooklyn,4.00936791996538
2023,5,11224,313,48469.0,Brooklyn,6.457735872413295
2023,5,11225,622,56544.0,Brooklyn,11.000282965478211
2023,5,11226,1024,100022.0,Brooklyn,10.23774769550699
2023,5,11228,76,42325.0,Brooklyn,1.795629060838748
2023,5,11229,329,79802.0,Brooklyn,4.122703691636801
2023,5,11230,378,88252.0,Brooklyn,4.283189049539954
2023,5,11231,568,39704.0,Brooklyn,14.305863389079185
2023,5,11232,327,26681.0,Brooklyn,12.255912447059705
2023,5,11233,705,82711.0,Brooklyn,8.523654652948217
2023,5,11234,353,87778.0,Brooklyn,4.021508806306819
2023,5,11235,346,81958.0,Brooklyn,4.221674516215622
2023,5,11236,280,95174.0,Brooklyn,2.941979952508038
2023,5,11237,888,45233.0,Brooklyn,19.631684831870537
2023,5,11238,1256,58462.0,Brooklyn,21.484040915466455
2023,5,11239,47,16047.0,Brooklyn,2.928896366922166
2023,5,11249,475,45353.0,Brooklyn,10.473397570171764
2023,6,10301,242,39799.0,Staten Island,6.0805547878087385
2023,6,10302,78,19693.0,Staten Island,3.960798253186412
2023,6,10303,116,25993.0,Staten Island,4.462739968453046
2023,6,10304,159,45843.0,Staten Island,3.4683594005627905
2023,6,10305,145,41714.0,Staten Island,3.476051205830177
2023,6,10306,179,57249.0,Staten Island,3.126692169295534
2023,6,10307,80,14821.0,Staten Island,5.39774644086094
2023,6,10308,65,29996.0,Staten Island,2.1669555940792105
2023,6,10309,75,,Staten Island,
2023,6,10310,107,25824.0,Staten Island,4.143432465923173
2023,6,10312,129,63345.0,Staten Island,2.0364669666114135
2023,6,10314,221,93539.0,Staten Island,2.3626508728979356
2023,6,11201,1142,69251.0,Brooklyn,16.49073659586143
2023,6,11203,442,76853.0,Brooklyn,5.751239379074337
2023,6,11204,193,81368.0,Brooklyn,2.371939828925376
2023,6,11205,266,50205.0,Brooklyn,5.298277064037447
2023,6,11206,735,89231.0,Brooklyn,8.237047662807768
2023,6,11207,1010,93445.0,Brooklyn,10.808496976831291
2023,6,11208,826,106901.0,Brooklyn,7.726775240643212
2023,6,11209,437,70756.0,Brooklyn,6.176154672395274
2023,6,11210,336,60398.0,Brooklyn,5.563098115831649
2023,6,11211,653,65691.0,Brooklyn,9.940478908830737
2023,6,11212,550,87946.0,Brooklyn,6.253837582152684
2023,6,11213,490,69630.0,Brooklyn,7.037196610656327
2023,6,11214,215,88994.0,Brooklyn,2.41589320628357
2023,6,11215,338,70922.0,Brooklyn,4.765799046840191
2023,6,11216,758,59913.0,Brooklyn,12.651678266820223
2023,6,11217,446,42569.0,Brooklyn,10.477107754469214
2023,6,11218,222,71313.0,Brooklyn,3.1130368936939967
2023,6,11219,202,94737.0,Brooklyn,2.1322186685244415
2023,6,11220,472,90792.0,Brooklyn,5.198695920345405
2023,6,11221,1087,90750.0,Brooklyn,11.977961432506886
2023,6,11222,468,41418.0,Brooklyn,11.299435028248588
2023,6,11223,386,78566.0,Brooklyn,4.9130667209734495
2023,6,11224,375,48469.0,Brooklyn,7.736904000495162
2023,6,11225,559,56544.0,Brooklyn,9.886106395019807
2023,6,11226,1083,100022.0,Brooklyn,10.827617924056707
2023,6,11228,94,42325.0,Brooklyn,2.2209096278795037
2023,6,11229,288,79802.0,Brooklyn,3.6089321069647378
2023,6,11230,302,88252.0,Brooklyn,3.4220187644472646
2023,6,11231,499,39704.0,Brooklyn,12.56800322385654
2023,6,11232,353,26681.0,Brooklyn,13.230388666091976
2023,6,11233,529,82711.0,Brooklyn,6.39576356228313
2023,6,11234,329,87778.0,Brooklyn,3.748091776982843
2023,6,11235,387,81958.0,Brooklyn,4.72193074501574
2023,6,11236,353,95174.0,Brooklyn,3.708996154411919
2023,6,11237,839,45233.0,Brooklyn,18.54840492560741
2023,6,11238,1205,58462.0,Brooklyn,20.611679381478567
2023,6,11239,55,16047.0,Brooklyn,3.427431918738705
2023,6,11241,1,,Brooklyn,
2023,6,11242,1,,Brooklyn,
2023,6,11249,572,45353.0,Brooklyn,12.612175600291051
2023,7,10301,196,39799.0,Staten Island,4.9247468529360034
2023,7,10302,84,19693.0,Staten Island,4.265475041893059
2023,7,10303,91,25993.0,Staten Island,3.5009425614588543
2023,7,10304,180,45843.0,Staten Island,3.926444604410706
2023,7,10305,132,41714.0,Staten Island,3.164405235652299
2023,7,10306,150,57249.0,Staten Island,2.62013310276162
2023,7,10307,55,14821.0,Staten Island,3.710950678091897
2023,7,10308,54,29996.0,Staten Island,1.8002400320042673
2023,7,10309,131,,Staten Island,
2023,7,10310,87,25824.0,Staten Island,3.3689591078066914
2023,7,10312,90,63345.0,Staten Island,1.4207909069381957
2023,7,10314,212,93539.0,Staten Island,2.266434321512952
2023,7,11201,690,69251.0,Brooklyn,9.96375503602836
2023,7,11203,507,76853.0,Brooklyn,6.597009875997034
2023,7,11204,107,81368.0,Brooklyn,1.315013273031167
2023,7,11205,168,50205.0,Brooklyn,3.3462802509710188
2023,7,11206,594,89231.0,Brooklyn,6.656879335656891
2023,7,11207,1010,93445.0,Brooklyn,10.808496976831291
2023,7,11208,925,106901.0,Brooklyn,8.652865735587133
2023,7,11209,294,70756.0,Brooklyn,4.1551246537396125
2023,7,11210,241,60398.0,Brooklyn,3.990198350938773
2023,7,11211,625,65691.0,Brooklyn,9.514240915802773
2023,7,11212,619,87946.0,Brooklyn,7.038409933368203
2023,7,11213,388,69630.0,Brooklyn,5.572310785580928
2023,7,11214,176,88994.0,Brooklyn,1.9776614153763175
2023,7,11215,184,70922.0,Brooklyn,2.594399481120104
2023,7,11216,769,59913.0,Brooklyn,12.835277819504949
2023,7,11217,279,42569.0,Brooklyn,6.55406516479128
2023,7,11218,195,71313.0,Brooklyn,2.734424298514997
2023,7,11219,114,94737.0,Brooklyn,1.2033313277811204
2023,7,11220,469,90792.0,Brooklyn,5.1656533615296505
2023,7,11221,967,90750.0,Brooklyn,10.65564738292011
2023,7,11222,272,41418.0,Brooklyn,6.567193007870974
2023,7,11223,278,78566.0,Brooklyn,3.5384262912710334
2023,7,11224,346,48469.0,Brooklyn,7.138583424456869
2023,7,11225,408,56544.0,Brooklyn,7.215619694397283
2023,7,11226,965,100022.0,Brooklyn,9.647877466957269
2023,7,11228,104,42325.0,Brooklyn,2.457176609568813
2023,7,11229,285,79802.0,Brooklyn,3.571339064183855
2023,7,11230,200,88252.0,Brooklyn,2.266237592349182
2023,7,11231,203,39704.0,Brooklyn,5.112834978843441
2023,7,11232,323,26681.0,Brooklyn,12.105993028747049
2023,7,11233,508,82711.0,Brooklyn,6.141867466237865
2023,7,11234,423,87778.0,Brooklyn,4.818975141835084
2023,7,11235,352,81958.0,Brooklyn,4.294882744820518
2023,7,11236,386,95174.0,Brooklyn,4.055729505957509
2023,7,11237,743,45233.0,Brooklyn,16.426060619459243
2023,7,11238,543,58462.0,Brooklyn,9.288084567753412
2023,7,11239,29,16047.0,Brooklyn,1.8071913753349536
2023,7,11241,1,,Brooklyn,
2023,7,11249,436,45353.0,Brooklyn,9.613476506515557
2023,8,10301,343,39799.0,Staten Island,8.618306992638006
2023,8,10302,79,19693.0,Staten Island,4.0115777179708525
2023,8,10303,83,25993.0,Staten Island,3.193167391220713
2023,8,10304,184,45843.0,Staten Island,4.013698928953167
2023,8,10305,156,41714.0,Staten Island,3.739751642134535
2023,8,10306,146,57249.0,Staten Island,2.5502628866879773
2023,8,10307,96,14821.0,Staten Island,6.477295729033128
2023,8,10308,66,29996.0,Staten Island,2.20029337244966
2023,8,10309,83,,Staten Island,
2023,8,10310,69,25824.0,Staten Island,2.6719330855018586
2023,8,10312,123,63345.0,Staten Island,1.941747572815534
2023,8,10314,173,93539.0,Staten Island,1.849495932178022
2023,8,11201,953,69251.0,Brooklyn,13.761534129471054
2023,8,11203,496,76853.0,Brooklyn,6.453879484210115
2023,8,11204,215,81368.0,Brooklyn,2.6423163897355226
2023,8,11205,202,50205.0,Brooklyn,4.023503635096106
2023,8,11206,685,89231.0,Brooklyn,7.676704284385472
2023,8,11207,913,93445.0,Brooklyn,9.770453207769275
2023,8,11208,838,106901.0,Brooklyn,7.839028633969748
2023,8,11209,332,70756.0,Brooklyn,4.692181581773984
2023,8,11210,285,60398.0,Brooklyn,4.718699294678632
2023,8,11211,498,65691.0,Brooklyn,7.58094716171165
2023,8,11212,674,87946.0,Brooklyn,7.6637936915834715
2023,8,11213,417,69630.0,Brooklyn,5.988797931925894
2023,8,11214,213,88994.0,Brooklyn,2.393419781108839
2023,8,11215,234,70922.0,Brooklyn,3.299399340120132
2023,8,11216,734,59913.0,Brooklyn,12.251097424599003
2023,8,11217,384,42569.0,Brooklyn,9.020648828960041
2023,8,11218,240,71313.0,Brooklyn,3.3654452904799967
2023,8,11219,201,94737.0,Brooklyn,2.121663130561449
2023,8,11220,482,90792.0,Brooklyn,5.308837783064587
2023,8,11221,1040,90750.0,Brooklyn,11.460055096418733
2023,8,11222,370,41418.0,Brooklyn,8.93331401805978
2023,8,11223,269,78566.0,Brooklyn,3.4238729221291653
2023,8,11224,401,48469.0,Brooklyn,8.273329344529493
2023,8,11225,489,56544.0,Brooklyn,8.648132427843803
2023,8,11226,1094,100022.0,Brooklyn,10.937593729379536
2023,8,11228,65,42325.0,Brooklyn,1.5357353809805079
2023,8,11229,363,79802.0,Brooklyn,4.548758176486805
2023,8,11230,211,88252.0,Brooklyn,2.3908806599283867
2023,8,11231,348,39704.0,Brooklyn,8.764859963731613
2023,8,11232,256,26681.0,Brooklyn,9.594842772010045
2023,8,11233,573,82711.0,Brooklyn,6.927736334949402
2023,8,11234,388,87778.0,Brooklyn,4.420241974070952
2023,8,11235,336,81958.0,Brooklyn,4.09966080187413
2023,8,11236,298,95174.0,Brooklyn,3.1311072351692686
2023,8,11237,606,45233.0,Brooklyn,13.397298432560298
2023,8,11238,584,58462.0,Brooklyn,9.989394820567206
2023,8,11239,33,16047.0,Brooklyn,2.0564591512432226
2023,8,11249,361,45353.0,Brooklyn,7.959782153330542
2023,9,10301,215,39799.0,Staten Island,5.402145782557351
2023,9,10302,94,19693.0,Staten Island,4.773269689737471
2023,9,10303,73,25993.0,Staten Island,2.808448428423037
2023,9,10304,167,45843.0,Staten Island,3.6428680496477104
2023,9,10305,149,41714.0,Staten Island,3.5719422735772164
2023,9,10306,119,57249.0,Staten Island,2.0786389281908857
2023,9,10307,42,14821.0,Staten Island,2.8338168814519937
2023,9,10308,59,29996.0,Staten Island,1.966928923856514
2023,9,10309,64,,Staten Island,
2023,9,10310,97,25824.0,Staten Island,3.756195786864932
2023,9,10312,85,63345.0,Staten Island,1.3418580787749625
2023,9,10314,236,93539.0,Staten Island,2.523011791872909
2023,9,11201,686,69251.0,Brooklyn,9.905994137268776
2023,9,11203,539,76853.0,Brooklyn,7.013389197558976
2023,9,11204,261,81368.0,Brooklyn,3.2076491987021925
2023,9,11205,222,50205.0,Brooklyn,4.4218703316402745
2023,9,11206,618,89231.0,Brooklyn,6.9258441572995935
2023,9,11207,800,93445.0,Brooklyn,8.561185724222806
2023,9,11208,729,106901.0,Brooklyn,6.8193936445870476
2023,9,11209,329,70756.0,Brooklyn,4.649782350613376
2023,9,11210,266,60398.0,Brooklyn,4.404119341700056
2023,9,11211,597,65691.0,Brooklyn,9.088002922774809
2023,9,11212,547,87946.0,Brooklyn,6.2197257407954885
2023,9,11213,467,69630.0,Brooklyn,6.70687921872756
2023,9,11214,229,88994.0,Brooklyn,2.573207182506686
2023,9,11215,248,70922.0,Brooklyn,3.49679930064014
2023,9,11216,704,59913.0,Brooklyn,11.750371371822476
2023,9,11217,277,42569.0,Brooklyn,6.507082618807114
2023,9,11218,241,71313.0,Brooklyn,3.37946797919033
2023,9,11219,138,94737.0,Brooklyn,1.4566642388929352
2023,9,11220,419,90792.0,Brooklyn,4.614944047933739
2023,9,11221,966,90750.0,Brooklyn,10.644628099173554
2023,9,11222,413,41418.0,Brooklyn,9.971509971509972
2023,9,11223,266,78566.0,Brooklyn,3.3856884657485424
2023,9,11224,372,48469.0,Brooklyn,7.6750087684912005
2023,9,11225,713,56544.0,Brooklyn,12.609649122807017
2023,9,11226,1211,100022.0,Brooklyn,12.107336385995081
2023,9,11228,74,42325.0,Brooklyn,1.748375664500886
2023,9,11229,413,79802.0,Brooklyn,5.175308889501516
2023,9,11230,254,88252.0,Brooklyn,2.8781217422834606
2023,9,11231,215,39704.0,Brooklyn,5.415071529316946
2023,9,11232,351,26681.0,Brooklyn,13.155428956935648
2023,9,11233,508,82711.0,Brooklyn,6.141867466237865
2023,9,11234,330,87778.0,Brooklyn,3.7594841532046757
2023,9,11235,303,81958.0,Brooklyn,3.697015544547207
2023,9,11236,385,95174.0,Brooklyn,4.045222434698553
2023,9,11237,882,45233.0,Brooklyn,19.49903831273628
2023,9,11238,645,58462.0,Brooklyn,11.032807635729192
2023,9,11239,40,16047.0,Brooklyn,2.4926777590826945
2023,9,11249,521,45353.0,Brooklyn,11.48766344012524
2023,9,11251,1,,Brooklyn,
2023,10,10301,212,39799.0,Staten Island,5.326767004196085
2023,10,10302,101,19693.0,Staten Island,5.128725943228559
2023,10,10303,77,25993.0,Staten Island,2.9623360135421075
2023,10,10304,213,45843.0,Staten Island,4.646292781886002
2023,10,10305,141,41714.0,Staten Island,3.3801601380831374
2023,10,10306,168,57249.0,Staten Island,2.9345490750930145
2023,10,10307,64,14821.0,Staten Island,4.318197152688753
2023,10,10308,57,29996.0,Staten Island,1.9002533671156154
2023,10,10309,90,,Staten Island,
2023,10,10310,86,25824.0,Staten Island,3.3302354399008673
2023,10,10312,81,63345.0,Staten Island,1.278711816244376
2023,10,10314,234,93539.0,Staten Island,2.501630336009579
2023,10,11201,743,69251.0,Brooklyn,10.729086944592858
