"License Permit ID","Premises County","Type","Class","Description","LegalName","DBA","Actual Address Of Premises","Additional Address Information","City","State Name","Zip Code","Original Issue Date","Last Issue Date","Effective Date","Expiration Date","Parent License ID","Legacy Serial Number","AKA Address","Georeference"
"0240-23-140745","Richmond","1","0240","Restaurant","HINGE OF STATEN ISLAND INC","TOWNE DELI & PIZZA","5373 ARTHUR KILL ROAD","JOHNSON & YETMAN AVE","STATEN ISLAND","New York","10307","08/08/2025","08/08/2025","09/01/2025","08/31/2027",,"1226526",,"POINT (-74.24797 40.51338)"
"0340-22-109004","Richmond","1","0340","Restaurant","EL PATRON RESTAURANT & LOUNGE II INC",,"1491 HYLAN BLVD",,"STATEN ISLAND","New York","10305","12/17/2024","12/17/2024","12/17/2024","11/30/2026",,"1309301",,"POINT (-74.08772 40.59189)"
"0240-23-140661","Richmond","1","0240","Restaurant","CPJP HOLDINGS INC","CIRO PIZZA CAFE","862 HUGUENOT AVE",,"STATEN ISLAND","New York","10312","03/25/2025","03/25/2025","04/01/2025","03/31/2027",,"1269505",,"POINT (-74.19255 40.53339)"
"0240-25-115660","Richmond","1","0240","Restaurant","Taqueria Restaurant Tres Amigos Inc",,"7528 Amboy Rd",,"Staten Island","New York","10307","07/03/2025","07/03/2025","07/03/2025","06/30/2027",,"6065318",,"POINT (-74.2467 40.50913)"
"0340-22-106638","Richmond","1","0340","Restaurant","REAL MADRID REST INC",,"2075 FOREST AVENUE",,"STATEN ISLAND","New York","10303","12/17/2024","12/17/2024","01/01/2025","12/31/2026",,"1043006",,"POINT (-74.15853 40.62631)"
"0340-22-109272","Richmond","1","0340","Restaurant","SEPPE PIZZA BAR INC",,"7 NAVY PIER CT","AKA 3 NAVY PIER CT  SPACE #3","STATEN ISLAND","New York","10304","10/29/2024","10/29/2024","11/01/2024","10/31/2026",,"1305060",,"POINT (-74.07413 40.62893)"
"0340-22-112510","Richmond","1","0340","Restaurant","DELUCA'S ITALIAN RESTAURANT INC",,"7324 AMBOY RD",,"STATEN ISLAND","New York","10307","07/10/2025","07/10/2025","07/10/2025","08/31/2026",,"1325097",,"POINT (-74.24143 40.51109)"
"0240-25-100184","Richmond","1","0240","Restaurant","LAS DOS MIXTECAS CORP",,"1285 Castleton Ave",,"Staten Island","New York","10310","01/03/2025","01/03/2025","01/03/2025","12/31/2026",,"6049579",,"POINT (-74.1255 40.6339)"
"0240-23-139534","Richmond","1","0240","Restaurant","VFA INC","PRIME PIZZA KITCHEN","1778 HYLAN BLVD",,"STATEN ISLAND","New York","10305","10/07/2025","10/07/2025","10/07/2025","09/30/2027",,"1304424",,"POINT (-74.09284 40.58544)"
"0340-22-106392","Richmond","1","0340","Restaurant","LA IGUANA M2 INC","LA IGUANA AZUL RESTAURANT","8 GIFFORDS LN",,"STATEN ISLAND","New York","10308","10/31/2024","10/31/2024","11/01/2024","10/31/2026",,"1312997",,"POINT (-74.15026 40.55104)"
"0240-25-102726","Richmond","1","0240","Restaurant","YCY INTERNATIONAL FB3 LLC","Bonchon Hylan Blvd","2211 HYLAN BLVD",,"STATEN ISLAND","New York","10306","02/11/2025","02/11/2025","02/11/2025","01/31/2027",,"6052172",,"POINT (-74.10357 40.57663)"
"0340-22-105846","Richmond","1","0340","Restaurant","RECUERDOS MEXICANOS INC",,"232 PORT RICHMOND AVENUE","CASTLETON & PORT RICHMOND AVES","STATEN ISLAND","New York","10302","01/29/2025","01/29/2025","02/01/2025","01/31/2027",,"1136979",,"POINT (-74.13503 40.63562)"
"0240-23-139987","Richmond","1","0240","Restaurant","AVOCADO SUSHI V INC",,"1430 RICHMOND AVE","STORE 5","STATEN ISLAND","New York","10314","04/15/2025","04/15/2025","05/01/2025","04/30/2027",,"1333961",,"POINT (-74.15848 40.61329)"
"0240-22-100108","Richmond","1","0240","Restaurant","ALYSSA THAI CUISINE INC","FOREST THAI CUISINE","1211 FOREST AVE",,"STATEN ISLAND","New York","10310","12/02/2024","12/02/2024","01/01/2025","12/31/2026",,"1248160",,"POINT (-74.1303 40.6264)"
"0240-23-141149","Richmond","1","0240","Restaurant","AZAREL INC","TOKYO SUSHI","1710 VICTORY BLVD","SOMMERS LANE & WINTHROP PL","STATEN ISLAND","New York","10314","02/28/2025","02/28/2025","03/01/2025","02/28/2027",,"1160939",,"POINT (-74.12091 40.6131)"
"0340-22-106249","Richmond","1","0340","Restaurant","ANGELINA'S KITCHEN INC","ANGELINA'S KITCHEN","280 MARSH AVE","#1806","STATEN ISLAND","New York","10314","11/15/2024","11/15/2024","12/01/2024","11/30/2026",,"1298154",,"POINT (-74.16368 40.57759)"
"0240-22-100718","Richmond","1","0240","Restaurant","1995 HYLAN RESTAURANT CORP","ZA RA TURKISH CAFE GRILL","1995 HYLAN BLVD",,"STATEN ISLAND","New York","10306","12/19/2024","12/19/2024","01/01/2025","12/31/2026",,"1314151",,"POINT (-74.09829 40.58137)"
"0340-22-107864","Richmond","1","0340","Restaurant","BASILIOS INN INC","BASILIOS INN","6 GALESVILLE COURT",,"STATEN ISLAND","New York","10305","10/23/2024","10/23/2024","11/01/2024","10/31/2026",,"1043065",,"POINT (-74.06354 40.59757)"
"0340-22-104488","Richmond","1","0340","Restaurant","2110 GROUP INC","FUSHIMI JAPANESE CUISINE","2110 RICHMOND RD UNIT A",,"STATEN ISLAND","New York","10306","11/21/2024","11/21/2024","12/01/2024","11/30/2026",,"1281871",,"POINT (-74.11177 40.58139)"
"0340-22-107858","Richmond","1","0340","Restaurant","CANLONS RESTAURANT INC",,"1825 N RAILROAD AVENUE",,"STATEN ISLAND","New York","10306","10/31/2024","10/31/2024","11/01/2024","10/31/2026",,"1043123",,"POINT (-74.1267 40.5651)"
"0240-23-142240","Richmond","1","0240","Restaurant","FOUR GIRLS FISH MARKET INC","LOBSTER HOUSE JOES","1898 HYLAN BLVD","SEAVER AVE & SLATER BLVD","STATEN ISLAND","New York","10305","05/21/2025","05/21/2025","06/01/2025","05/31/2027",,"1105862",,"POINT (-74.09579 40.58306)"
"0240-23-141013","Richmond","1","0240","Restaurant","ENOTECA MARIA INC",,"27 HYATT STREET","ST MARKS PLACE","STATEN ISLAND","New York","10301","02/07/2025","02/07/2025","03/01/2025","02/28/2027",,"1184889",,"POINT (-74.0772 40.64189)"
